artist_name,total_plays,total_minutes,skip_rate,loyalty_score
Tesher,65,171.86713333333333,0.26153846153846155,48.0
Thalapathy Vijay,5,5.518349999999999,0.8,0.9999999999999998
Thaman S,56,69.9422,0.7678571428571429,12.999999999999996
The Chainsmokers,40,132.86766666666665,0.1,36.0
The Kid LAROI,23,34.873016666666665,0.30434782608695654,16.0
The Local Train,5,6.0226999999999995,0.8,0.9999999999999998
The Neighbourhood,285,912.03155,0.24210526315789474,216.0
The PropheC,46,104.56753333333333,0.45652173913043476,25.0
The Weeknd,321,885.6407166666667,0.3925233644859813,195.0
The Yellow Diary,1,1.0921,1.0,0.0
Thomas LaRosa,22,60.58351666666666,0.36363636363636365,14.0
Thoshi,1,0.29925,1.0,0.0
Thousand Giants,2,4.883633333333334,0.0,2.0
Tiger JK,14,20.238816666666665,0.7142857142857143,4.0
Tini Mc,1,0.8126833333333333,1.0,0.0
Tink,17,11.275633333333333,0.8235294117647058,3.000000000000001
Tippu,6,17.305666666666667,0.3333333333333333,4.0
Todd Baker,5,3.8451666666666666,0.6,2.0
Tom Cardy,2,7.425800000000001,0.5,1.0
Tom Grennan,3,3.7746166666666667,0.6666666666666666,1.0
Tones And I,31,67.2039,0.25806451612903225,23.0
Tony Kakkar,6,10.892016666666667,0.3333333333333333,4.0
Torin Borrowdale,6,13.320666666666666,0.0,6.0
Tory Lanez,1,2.2722166666666666,0.0,1.0
Tove Lo,60,147.37595000000002,0.36666666666666664,38.0
Trav,2,0.2971499999999999,1.0,0.0
Travis Porter,1,2.8831166666666665,0.0,1.0
Travis Scott,3,3.5462499999999997,0.6666666666666666,1.0
Trevor Daniel,37,76.67473333333334,0.1891891891891892,29.999999999999996
Trippie Redd,1,1.9330833333333333,0.0,1.0
Troye Sivan,39,71.37108333333333,0.46153846153846156,21.0
Tulus,2,4.218216666666667,0.5,1.0
Twenty One Pilots,110,296.80986666666666,0.13636363636363635,95.0
Two Feet,4,9.94885,0.5,2.0
Ty Phong,2,3.4139999999999997,0.0,2.0
"Tyler, The Creator",10,17.613433333333333,0.6,4.0
UK Rapi Boy,3,5.3430333333333335,0.3333333333333333,2.0
UNDREAM,1,0.0991333333333333,1.0,0.0
UNIYAL,21,28.794516666666667,0.38095238095238093,13.0
UPSAHL,24,39.572383333333335,0.375,15.0
Udit Narayan,28,31.038816666666666,0.8928571428571429,2.9999999999999987
Umair,118,304.13531666666665,0.2627118644067797,87.0
Universo,1,0.02375,1.0,0.0
Unknown Brain,46,149.64905,0.08695652173913043,42.0
Unni Menon,1,0.1890166666666666,1.0,0.0
Unnikrishnan,3,1.3405333333333331,1.0,0.0
Until The Ribbon Breaks,2,8.4755,0.0,2.0
V,3,11.509783333333333,0.0,3.0
VIBIE,3,9.109766666666667,0.3333333333333333,2.0
VIC MENSA,1,0.6316,0.0,1.0
Vasundhra Raj,52,142.85356666666667,0.36538461538461536,33.0
Ved Sharma,1,0.6608333333333334,1.0,0.0
Venkatesh,58,120.56871666666666,0.29310344827586204,41.0
Venu,1,0.4671,1.0,0.0
Vibe2Vibe,28,77.38443333333333,0.21428571428571427,22.0
Victorious Cast,1,0.5272333333333333,0.0,1.0
Vidya Vox,73,220.69751666666664,0.1506849315068493,62.00000000000001
Vijai Bulganin,1,2.9816,1.0,0.0
Vijay,2,0.9609666666666667,1.0,0.0
Vijay Antony,6,10.673116666666667,0.5,3.0
"Vijay Antony, Janaki Iyer, Emcee Jesz",17,51.469233333333335,0.5294117647058824,8.0
Vijay Prakash,25,32.6205,0.84,4.000000000000001
Vilen,2,0.13005,1.0,0.0
Vishal Chandrashekhar,4,2.8750166666666663,1.0,0.0
Vishal Dadlani,116,311.70005,0.4396551724137931,65.0
Vishal Mishra,3,5.836233333333333,0.6666666666666666,1.0
